"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2024","EQ","975.40","979.00","945.00","973.50","952.95","952.05","959.51","1,108.35","530.55","4,95,457","47,53,94,204.30","25,513"
"27-Mar-2024","EQ","964.15","995.40","962.00","958.50","967.00","973.50","977.57","1,108.35","530.55","9,50,812","92,94,88,389.95","46,521"
"26-Mar-2024","EQ","955.00","973.00","952.20","952.05","955.00","958.50","961.19","1,108.35","530.55","5,42,290","52,12,44,581.80","25,144"
"22-Mar-2024","EQ","957.00","966.50","949.00","952.75","950.00","952.05","955.98","1,108.35","530.55","3,76,364","35,97,96,511.80","27,196"
"21-Mar-2024","EQ","963.00","978.05","949.50","950.05","950.00","952.75","960.13","1,108.35","530.55","6,96,569","66,87,94,956.75","29,406"
"20-Mar-2024","EQ","964.00","964.00","943.00","951.20","949.30","950.05","951.13","1,108.35","530.55","2,59,370","24,66,93,305.35","17,796"
"19-Mar-2024","EQ","954.70","983.35","947.50","948.95","950.00","951.20","962.59","1,108.35","530.55","7,76,822","74,77,62,219.90","36,308"
"18-Mar-2024","EQ","960.00","964.75","939.90","955.70","953.90","948.95","949.64","1,108.35","530.55","4,54,486","43,15,97,119.05","23,375"
"15-Mar-2024","EQ","984.95","984.95","950.00","977.40","958.00","955.70","963.73","1,108.35","520.25","5,31,923","51,26,28,731.85","34,228"
"14-Mar-2024","EQ","938.00","988.95","931.05","933.45","976.95","977.40","973.78","1,108.35","520.25","7,36,140","71,68,39,241.40","37,752"
"13-Mar-2024","EQ","969.00","1,005.30","928.00","967.90","930.05","933.45","962.54","1,108.35","520.25","11,54,973","1,11,17,02,937.80","72,232"
"12-Mar-2024","EQ","1,013.00","1,016.50","957.65","1,012.70","975.00","967.90","977.18","1,108.35","520.25","7,50,597","73,34,71,346.00","48,045"
"11-Mar-2024","EQ","1,020.10","1,028.90","1,006.00","1,015.40","1,012.90","1,012.70","1,014.71","1,108.35","520.25","4,05,616","41,15,83,118.15","26,749"
"07-Mar-2024","EQ","1,029.50","1,039.20","1,007.55","1,020.20","1,015.95","1,015.40","1,025.36","1,108.35","520.25","6,85,591","70,29,79,529.70","31,937"
"06-Mar-2024","EQ","980.85","1,030.00","975.00","982.85","1,018.00","1,020.20","1,011.25","1,108.35","520.25","27,64,993","2,79,60,97,595.25","1,06,014"
"05-Mar-2024","EQ","994.00","995.60","979.10","994.80","983.00","982.85","986.19","1,108.35","520.25","2,93,094","28,90,46,721.80","22,172"
"04-Mar-2024","EQ","999.65","1,042.95","991.25","993.65","994.95","994.80","1,012.15","1,108.35","520.25","9,08,830","91,98,67,860.00","50,228"
"02-Mar-2024","EQ","988.20","1,000.00","985.00","982.75","994.15","993.65","993.68","1,108.35","520.25","54,796","5,44,49,561.40","3,488"
"01-Mar-2024","EQ","999.55","1,007.70","978.10","995.05","980.00","982.75","989.97","1,108.35","520.25","4,43,289","43,88,41,294.75","29,038"
"29-Feb-2024","EQ","983.50","1,004.00","972.05","983.50","998.50","995.05","990.47","1,108.35","520.25","5,74,573","56,90,98,091.35","31,929"
"28-Feb-2024","EQ","1,010.00","1,014.80","970.00","1,006.10","985.00","983.50","985.58","1,108.35","520.25","4,90,926","48,38,44,727.50","24,066"
"27-Feb-2024","EQ","1,026.00","1,027.95","990.10","1,026.05","1,009.00","1,006.10","1,009.69","1,108.35","520.25","3,39,995","34,32,87,902.80","21,218"
"26-Feb-2024","EQ","1,006.00","1,030.00","1,006.00","1,027.70","1,026.00","1,026.05","1,022.16","1,108.35","520.25","2,88,636","29,50,31,616.10","12,291"
"23-Feb-2024","EQ","1,012.05","1,033.90","1,007.00","1,008.90","1,027.00","1,027.70","1,020.32","1,108.35","520.25","5,21,596","53,21,93,810.65","18,306"
"22-Feb-2024","EQ","1,026.00","1,035.00","998.55","1,024.00","1,012.00","1,008.90","1,018.04","1,108.35","520.25","9,42,229","95,92,24,938.95","24,126"
"21-Feb-2024","EQ","1,039.00","1,049.00","1,020.00","1,041.15","1,026.00","1,024.00","1,029.69","1,108.35","520.25","7,99,597","82,33,40,637.35","26,031"
"20-Feb-2024","EQ","1,064.45","1,080.00","1,032.20","1,064.45","1,039.25","1,041.15","1,056.89","1,108.35","520.25","31,02,666","3,27,91,91,283.40","91,928"
"19-Feb-2024","EQ","1,040.00","1,108.35","1,036.50","1,026.50","1,069.85","1,064.45","1,071.34","1,108.35","520.25","47,41,771","5,08,00,72,128.20","1,42,633"
"16-Feb-2024","EQ","891.00","1,051.00","889.85","887.10","1,015.60","1,026.50","1,002.42","1,051.00","520.25","1,46,34,622","14,66,99,79,213.95","3,07,221"
"15-Feb-2024","EQ","899.00","914.80","883.00","884.80","884.95","887.10","897.09","928.00","520.25","14,56,064","1,30,62,17,994.40","50,649"
"14-Feb-2024","EQ","855.00","909.00","848.05","856.90","886.00","884.80","888.39","928.00","520.25","26,75,111","2,37,65,51,655.35","89,753"
"13-Feb-2024","EQ","837.00","864.90","829.60","833.50","858.00","856.90","847.44","928.00","520.25","4,11,955","34,91,07,275.15","20,005"
"12-Feb-2024","EQ","847.00","847.00","828.00","839.80","835.00","833.50","835.49","928.00","520.25","2,37,235","19,82,08,449.95","14,194"
"09-Feb-2024","EQ","860.00","865.00","833.00","856.65","843.00","839.80","843.54","928.00","518.00","2,96,222","24,98,73,974.90","16,803"
"08-Feb-2024","EQ","864.80","869.35","850.00","859.25","855.60","856.65","859.74","928.00","518.00","3,26,172","28,04,21,861.00","16,548"
"07-Feb-2024","EQ","869.40","871.70","855.95","864.80","859.95","859.25","861.77","928.00","518.00","2,61,786","22,55,99,262.50","13,348"
"06-Feb-2024","EQ","872.00","879.00","863.80","869.30","865.75","864.80","868.92","928.00","518.00","4,08,118","35,46,23,871.70","30,849"
"05-Feb-2024","EQ","867.00","872.10","862.10","858.85","870.00","869.30","868.73","928.00","518.00","3,68,323","31,99,74,278.50","19,160"
"02-Feb-2024","EQ","875.95","877.90","855.05","869.30","862.50","858.85","867.86","928.00","502.00","3,20,211","27,78,99,546.85","17,924"
"01-Feb-2024","EQ","872.00","883.90","863.70","865.80","869.00","869.30","873.29","928.00","502.00","5,91,977","51,69,67,824.60","27,380"
"31-Jan-2024","EQ","874.95","885.50","862.40","870.40","865.00","865.80","873.89","928.00","502.00","5,43,968","47,53,66,942.50","24,816"
"30-Jan-2024","EQ","882.00","885.00","867.00","880.00","870.00","870.40","875.57","928.00","502.00","4,97,000","43,51,59,718.30","27,307"
"29-Jan-2024","EQ","876.00","883.00","873.10","869.80","879.00","880.00","878.78","928.00","502.00","5,12,610","45,04,71,654.45","19,468"
"25-Jan-2024","EQ","864.85","874.90","860.30","859.20","869.50","869.80","868.98","928.00","502.00","5,99,073","52,05,84,227.70","26,907"
"24-Jan-2024","EQ","843.90","872.00","842.25","840.20","860.90","859.20","856.48","928.00","502.00","12,57,350","1,07,68,92,209.00","49,064"
"23-Jan-2024","EQ","833.00","847.90","833.00","828.85","838.40","840.20","840.53","928.00","502.00","6,27,481","52,74,19,206.00","27,302"
"20-Jan-2024","EQ","837.00","838.00","825.00","835.15","826.00","828.85","829.47","928.00","502.00","1,94,845","16,16,17,217.20","9,969"
